Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2363149,AMIGOS SALUDABLES,AMIGOS SALUDABLES,2717775,Restaurant,All,4001 W FULLERTON AVE ,CHICAGO,IL,60639,03/03/2020,License,Not Ready,,41.92437352872389,-87.72681367807314,"(-87.72681367807314, 41.92437352872389)"
2363109,TEN CAFE,TEN CAFE,2713537,Restaurant,Risk 1 (High),3308 N WESTERN AVE ,CHICAGO,IL,60618,03/03/2020,License Re-Inspection,Pass,,41.94158571345376,-87.68837619919587,"(-87.68837619919587, 41.94158571345376)"
2363086,TASTY FAST FOOD & GROCERY,TASTY FAST FOOD & GROCERY,2559536,Restaurant,Risk 1 (High),6645 S HALSTED ST ,CHICAGO,IL,60621,02/28/2020,Complaint Re-Inspection,Pass,,41.77296602950113,-87.6444630706756,"(-87.6444630706756, 41.77296602950113)"
2363092,POPEYE'S CHICKEN,POPEYE'S CHICKEN,1121856,Restaurant,Risk 1 (High),4431 S ARCHER AVE ,CHICAGO,IL,60632,02/28/2020,Complaint Re-Inspection,Pass,,41.812628989174634,-87.70639420409829,"(-87.70639420409829, 41.812628989174634)"
2363076,HOST INTERNATIONAL INC,STARBUCKS (T2 LL ARRIVAL),2032399,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,CHICAGO,IL,60666,02/28/2020,Canvass,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE INOPERABLE LIGHT BULB INSIDE REACH-IN COOLER INSIDE REAR CLOSET.",42.008536400868735,-87.91442843927047,"(-87.91442843927047, 42.008536400868735)"
2363060,TBD,SHERIDAN 'L' LIQUORS AND LOUNGE,2712488,Liquor,Risk 3 (Low),3944-3946 N SHERIDAN RD ,CHICAGO,IL,60613,02/28/2020,License,Pass,,41.95405970426544,-87.65468014494112,"(-87.65468014494112, 41.95405970426544)"
2363054,RAVENSWOOD BAPTIST CHURCH SCHOOL,RAVENSWOOD BAPTIST CHURCH SCHOOL,2225397,School,Risk 3 (Low),4437 N SEELEY AVE ,CHICAGO,IL,60625,02/28/2020,Canvass,No Entry,,41.962542993844735,-87.68047934170733,"(-87.68047934170733, 41.962542993844735)"
2363037,Q'S,Q'S,2713042,Liquor,Risk 3 (Low),8406 S KEDZIE AVE ,CHICAGO,IL,60652,02/27/2020,License Re-Inspection,Pass,,41.740414814644055,-87.70228446282108,"(-87.70228446282108, 41.740414814644055)"
2363015,AFC SUSHI @ JEWEL OSCO #3224,AFC SUSHI @ JEWEL OSCO #3224,2446872,Restaurant,Risk 1 (High),6430 W IRVING PARK RD ,CHICAGO,IL,60634,02/27/2020,Canvass,Pass w/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HAND WASHING SIGNAGE AT HAND SINK IN PREP AREA.  | 23. PROPER DATE MARKING AND DISPOSITION - Comments: INSTRUCTED TO PROPERLY LABEL AND DATE READY TO EAT TCS FOODS HELD OVER 24 HOURS INSIDE COOLERS. MUST IDENTIFY PRODUCT SHELF LIFE OR 'CONSUME BY' DATING (7 DAYS FROM PREPARATION DATE). PRIORITY FOUNDATION VIOLATION 7-38-005  NO CITATION  ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE WALK IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REORGANIZE AND PROVIDE PROPER SHELVING/RACKS FOR FOOD SUPPLIES NEXT TO HANDSINK.",41.953010233234615,-87.78770716259851,"(-87.78770716259851, 41.953010233234615)"
2362968,TACO BELL CANTINA,TACO BELL CANTINA,2657739,Restaurant,Risk 3 (Low),2432 N MILWAUKEE AVE ,CHICAGO,IL,60647,02/27/2020,License,Pass,,41.92533164821854,-87.70154132847459,"(-87.70154132847459, 41.92533164821854)"
2362958,DONA TOLA,DONA TOLA,2684259,Restaurant,Risk 1 (High),3751 N SOUTHPORT AVE ,CHICAGO,IL,60613,02/27/2020,License Re-Inspection,Pass w/ Conditions,,41.95034913354049,-87.66396116151019,"(-87.66396116151019, 41.95034913354049)"
2362946,BIG TONYS PIZZA 2,BIG TONYS PIZZA 2,1544318,Restaurant,Risk 1 (High),3732 W 59TH ST ,CHICAGO,IL,60629,02/26/2020,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: EAST SIDE FRONT DOOR, APPROX 1/4 INCH GAP AT SIDE AND BOTTOM OF SIDE. INSTD TO RODENT PROOF SAME AS TO BE TIGHT FITTING. ",41.78614076584596,-87.71694768911665,"(-87.71694768911665, 41.78614076584596)"
2362931,ALEX'S CATERING,ALEX'S CATERING,2671626,Mobile Food Dispenser,Risk 3 (Low),1204 W 36TH PL ,CHICAGO,IL,60609,02/26/2020,License,Pass,,41.82809412610231,-87.65585369468056,"(-87.65585369468056, 41.82809412610231)"
